ID,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,target
0,3.897850494,-5.759907377,-0.316163722,1.292310592,0.816497623,2.385050939,1
1,-0.336599646,-7.775717154,-0.316163722,1.265399858,-0.439536068,-2.58006525,1
2,5.108084096,-9.791526932,0.060347371,0.631451669,1.303298322,-1.393772065,0
3,-2.535448376,10.66137445,0.436858464,-0.00249652,1.111001961,-3.107679701,0
4,-10.55932618,9.699309624,-0.315411355,0.855255548,0.749749002,1.217896624,0
5,3.405740502,8.737244794,2.754163899,2.983202496,0.58273648,-0.565623289,1
6,-8.372207718,-16.45926503,5.823739153,-4.352333969,1.174110055,0.462784239,0
7,-2.568912692,12.76043068,0.407640072,5.306783097,0.412990462,4.870934689,0
8,4.467702318,10.49840566,0.420910381,4.076980329,-0.31702573,-1.844241407,0
9,-5.602370318,8.236380651,-0.367163352,1.356278987,-0.753266112,3.96992192,1
10,-4.927667808,-0.034612324,-1.544872608,-1.856383609,0.581816838,-0.080847397,0
11,3.401372996,-10.96489251,-0.671318144,-0.971111455,-1.307183347,-4.825377476,0
12,11.66418775,-2.114893244,-0.423691042,0.918928165,-0.808656965,-1.15250017,0
13,9.306875458,-4.381862649,-0.742512631,3.338947084,-0.221393317,-0.19454029,0
14,6.949563161,-6.648832054,-1.061334221,1.931223177,0.369566707,-0.877211946,0
15,0.556625983,16.82036287,-1.38015581,0.52349927,-0.686262604,-0.79919821,1
16,-1.696741996,7.665961785,-1.703670145,-0.884224637,-2.441580807,-0.721184475,0
17,4.95913525,-0.985278717,-2.02718448,-4.334918733,-1.165781918,-0.64317074,0
18,2.800724708,3.551405879,-1.322679376,-3.440437682,0.130673916,0.776436164,0
19,-5.421483586,-9.748759216,-0.618174272,-1.414314978,0.567474809,2.196043068,0
20,3.184738131,5.267843282,-2.662491451,-2.914595054,-0.497995473,-5.791688688,0
21,-7.745079575,-10.95874226,-0.394934211,-4.858606454,1.257371206,0.47287591,0
22,-3.785386891,7.013272735,-0.52864125,0.847501805,-0.296132857,1.628327573,1
23,-13.50388932,-2.519009168,-0.769695097,2.519016712,-1.849636919,-1.693208205,0
24,2.697188529,6.354880231,-1.010748943,3.461360735,-0.802741928,-0.897638848,0
25,3.585307223,6.540631342,0.541782007,2.566190716,0.047267031,-1.869112125,0
26,-1.158754518,7.742140333,2.094312957,1.671020696,-0.606457869,-1.19166594,0
27,-5.902816258,8.943649324,0.36953238,5.986484789,-0.37012706,-1.111601941,0
28,2.799483222,-3.972291915,-1.355248196,-2.615801746,0.091596659,0.136856422,1
29,11.5017827,-2.867849253,0.015720053,-3.01399494,0.553320378,-4.811197045,0
30,-3.2199592,9.651095375,0.577524882,-3.412188133,0.399391068,-4.262015655,0
31,-4.005843156,-1.689322111,1.139329711,-1.983680119,-0.303194321,0.943788681,1
32,-4.791727111,4.587520514,1.049889278,-1.904616334,-1.780681191,-1.322171602,0
33,-0.006681023,1.94430339,2.760464551,-2.062903078,-0.053869107,-0.907188004,1
34,0.917976302,-0.698913733,1.610893128,4.392532609,0.446786117,-0.612278643,0
35,-2.857720564,11.4985727,0.461321704,2.31436175,0.510761643,-4.278462454,0
36,4.714163891,0.709783082,-0.688249719,5.602105365,0.119176725,-0.762717726,0
37,-5.677066469,-10.07900653,0.127088005,4.678467209,-0.07022739,0.968843039,0
38,0.283358186,0.4912871,0.942425729,3.754829052,-0.259631506,-3.207420711,0
39,7.918303351,-7.408977823,1.757763453,2.831190895,-0.714345734,-1.909569708,0
40,-0.037873693,-0.246139543,2.573101178,3.161940119,-0.214478146,-0.362505867,0
41,6.20562927,-11.79408269,-3.136400787,1.477479597,0.001595628,-0.598891346,1
42,6.554174654,-9.358003715,-0.943194614,3.838431492,-0.141133871,1.234379948,0
43,-14.02129858,-0.979171613,1.25001156,1.207123895,2.464723267,3.067651242,1
44,3.726569863,7.399660488,-2.751594147,1.5005661,0.753527826,4.11690991,0
45,6.863649245,-6.469913087,-2.537032333,-2.80103962,0.263278444,-0.817056135,0
46,-5.286959205,1.445807002,-2.322470519,2.986990788,0.617430254,1.173704328,0
47,-3.261932913,9.748609082,-0.523605595,1.240583986,0.610464209,3.164464791,0
48,1.068823761,-6.114903636,-1.147921168,1.998658804,-0.943020204,-0.42386984,0
49,3.589202966,3.22146204,-0.413586317,2.756733623,0.313383853,0.272100721,0
50,0.781930075,9.658529032,0.320748533,2.542580492,0.703977,0.476625416,0
51,-8.621973393,-1.640422013,-0.579787233,-1.771136735,1.094570147,-6.77663303,1
52,-6.446382907,23.35145965,-1.480322999,5.712569471,0.352449748,-1.535689764,1
53,-4.27079242,-6.616619822,0.037543476,3.517720893,-0.389670652,-3.590611185,0
54,-4.387657517,-1.041408221,1.555409952,1.322872315,-0.254428483,0.040762704,0
55,-3.029876087,4.533803379,3.073276427,1.546834322,-1.842975543,-1.402129023,0
56,-1.672094657,-1.420605061,-0.902926903,1.77079633,0.801557479,-0.992721395,1
57,-7.485389268,10.88992638,-0.187813984,5.235073203,-2.205158372,1.330962564,0
58,-6.741044056,4.839088651,1.845941465,-0.84962435,-1.22949883,-5.164888507,0
