ID,stage4_flow_deviation,stage4_density_deviation,stage4_viscosity_deviation,stage4_co2_deviation,stage4_o2_deviation,stage4_n_deviation,target
0,-0.819411946,-3.39539146,3.897850494,-0.381980919,-0.917518658,2.905964698,1
1,-1.815472355,-2.226714563,-0.336599646,2.651873684,-4.937284497,0.089265176,1
2,3.179709129,-2.716911815,5.108084096,5.685728286,-3.535673213,0.871248887,0
3,2.868772317,-1.126203144,-2.535448376,5.497905895,-2.13406193,-1.188985095,0
4,3.129708541,-1.433270406,-10.55932618,7.259877927,-0.192611825,-1.648625865,0
5,3.390644766,-2.220078698,3.405740502,-10.98959448,1.18139461,-0.594650362,1
6,-2.355319839,-2.195410959,-8.372207718,13.5966773,-4.309285949,0.283718528,0
7,5.303894242,-1.140155394,-2.568912692,5.755924007,-2.834679763,1.162087417,0
8,4.649714995,-2.196225256,4.467702318,-0.868330201,-1.360073577,0.676703821,0
9,-1.132269922,2.39158761,-5.602370318,-7.492584409,0.114532609,0.191320226,1
10,-1.285015064,-0.390900537,-4.927667808,0.114892141,-2.610392215,-0.29406337,0
11,-2.075058633,2.253744362,3.401372996,2.646707066,-3.036442329,-1.960620814,0
12,-1.827962525,0.090308405,11.66418775,0.84561008,0.552133473,-0.424540049,0
13,-4.155488218,2.821655811,3.291357916,-9.594390267,-3.120053149,-0.452393065,0
14,0.507670112,1.653858331,6.949563161,2.881925926,-0.360178361,-0.066182235,0
15,1.350219873,1.451605979,0.556625983,-9.226330198,-0.021159599,-0.684181484,1
16,0.850664846,0.150211641,-1.696741996,3.606413552,-0.934260713,0.348734104,0
17,0.016687291,1.828856222,4.95913525,-1.749395882,-1.529221131,0.570345493,0
18,3.766591212,0.857459974,2.800724708,-0.094999647,-1.723666258,-0.671644582,0
19,-4.829187193,0.862690702,-5.421483586,1.356064574,-3.309253653,-1.259245463,0
20,2.480032883,2.909888335,3.184738131,-7.742991618,-1.946941829,-1.846846345,0
21,-4.916439225,3.684019804,-7.745079575,-0.163519848,-3.490143202,1.835734408,0
22,-1.189398248,0.529045687,-3.785386891,-1.024743,-1.515098495,-1.28286904,1
23,-1.620557478,1.50822415,-13.50388932,-0.196104177,0.459946211,-0.089670868,0
24,0.417717744,2.487402613,2.697188529,-1.009800671,-2.184833171,-1.597874361,0
25,-1.541174771,0.576906346,3.585307223,-8.854789268,-1.518204657,-0.007273351,0
26,-1.628693195,-0.401585087,0.581323372,-5.059957793,-0.851576143,0.989408914,0
27,-1.716211619,-1.38007652,-5.902816258,-1.670744986,-0.184947628,-0.13647468,0
28,-0.608437943,0.021784574,2.799483222,1.718467821,0.481680886,-1.262358274,1
29,1.900772587,-1.257334158,11.5017827,-3.928071721,0.59431896,0.880685564,0
30,4.832352927,3.212557019,6.597734367,2.988821081,-3.818150071,-0.479332089,0
31,3.4486694,-1.373497713,1.693686032,-1.896227858,3.912853427,-1.839349741,1
32,0.040736221,-2.443674815,-4.791727111,1.195720666,-0.943372286,0.319191292,0
33,2.252938415,-3.513851917,-0.006681023,-6.269560436,2.123040203,-1.423798472,1
34,-0.431158501,-4.584029019,0.917976302,12.80348341,-2.45986807,0.729316051,0
35,1.342926131,-0.019463507,-2.857720564,-3.310165744,-3.61316154,0.031536045,0
36,1.182299467,-3.905010625,4.714163891,4.868009288,-3.877800736,-0.666243962,0
37,2.756992918,-4.09264334,-5.677066469,8.327365209,-4.142439932,0.361668624,0
38,1.345512313,-4.280276055,0.283358186,4.103828917,0.196547891,0.554362075,0
39,2.344394679,1.663157016,7.918303351,-6.036297807,-3.447397191,0.797468161,0
40,-0.240352424,-0.891701714,-0.037873693,-1.836096147,-0.108895037,-0.376792901,0
41,0.741842017,-3.648689014,6.20562927,-11.11485813,-0.881339574,-1.551053963,1
42,-1.269076942,-3.796181601,6.554174654,-3.403431108,0.436454129,-0.916898599,0
43,2.895312099,-2.647470775,-14.02129858,6.313214589,0.837991322,-0.282743235,1
44,-1.575363647,-1.498759949,3.726569863,-6.405689971,1.239528515,-0.159523974,0
45,0.339222442,1.872600737,6.863649245,-0.573219004,-2.714443454,-0.036304714,0
46,4.265273422,-4.040148415,1.800858166,15.10669764,-2.206773305,0.004602725,0
47,3.613908665,0.606481846,-3.261932913,-2.316030306,-0.016360014,-0.237279774,0
48,-1.485371593,0.112948621,1.068823761,-0.846298794,-3.382054823,-0.135440161,0
49,0.932400947,-0.431689003,3.589202966,0.623432718,0.585205933,-0.033600548,0
50,-1.598515184,1.808414953,0.781930075,-11.83597061,1.546348982,0.068239065,0
51,-3.283352896,2.15555847,-8.621973393,2.396469368,-2.433388188,-0.869136185,1
52,1.027411311,3.79790798,7.627037147,-2.281312942,-0.170443108,-1.581240935,1
53,0.547950242,-1.784145647,-4.27079242,1.176889905,-0.827658703,-1.325204888,0
54,0.068489173,-0.470068601,-4.387657517,6.074528879,-1.484874297,0.5269609,0
55,-0.410971895,-1.649397858,-11.03205535,9.129607967,-0.971308797,1.729323838,0
56,1.307138109,0.343663603,-9.601718249,6.392643288,-2.016330306,0.590843167,1
57,0.560045034,-3.749842421,-8.171381153,3.655678608,-3.061351816,-0.166555847,0
58,-0.187048042,-0.621636234,-6.741044056,3.916950468,-1.801332515,-0.923954861,0
59,-0.934141118,0.494464915,-0.946920742,4.178222328,-1.326571964,-0.690824653,0
60,-1.31486285,1.610566064,4.847202573,-0.412805907,-0.851811412,1.515650081,0
61,-1.695584582,-0.008352389,-5.811165214,4.595577239,-1.523027149,1.230944764,0
62,-2.076306314,-1.069813003,-0.721157191,3.596219882,-1.892587247,0.946239448,0
63,0.478174854,3.079746345,2.997839496,2.596862525,-2.939670958,0.661534132,0
64,-5.18176763,6.892283663,-2.09675435,-12.42495592,-2.627310747,-0.842354444,0
65,-3.016543683,4.403299249,6.792789992,-9.311364862,4.293914717,-0.05629757,0
66,-0.851319737,5.61723357,-0.801309127,-2.816304609,1.171690101,1.207362729,0
67,-0.478505635,-1.683627151,-2.707663228,4.317224385,-1.950534515,-0.942271497,0
68,5.247426812,-6.411305118,-2.739281596,8.963814636,-2.352944467,0.961057601,0
69,4.662947339,-2.742767579,11.11483641,0.338956051,-2.755354419,0.615371857,1
70,1.92833134,-1.639053153,-10.57051674,-1.301426116,-3.505219322,0.368111798,1
71,1.077785779,1.749776496,5.115246288,-2.975837015,2.816267087,0.120851739,1
72,-1.018083314,4.90577794,5.165574217,-16.29468361,-0.111595496,-0.12640832,0
73,-0.513350732,-1.115417881,-11.36315414,7.160869393,-2.60742167,-1.351909894,0
74,-0.00861815,1.201627716,-7.965439451,4.232083085,-3.605085205,0.52975959,0
75,0.243375572,-1.98560949,-4.922781333,6.099578907,-4.60274874,0.990753966,0
76,0.584150696,-1.285414771,-4.437556481,11.16781801,-5.600412275,-0.435227288,1
77,2.667692894,-0.585220052,-2.02894308,1.142517564,-4.135359085,-0.387322932,0
78,-1.501450322,6.083336689,5.107382525,4.779608051,1.624769736,0.459804534,0
79,-0.812162109,-0.714771867,2.708773202,-5.759256304,1.072814471,0.194124802,0
80,1.50023121,-1.548065752,5.936177996,-5.734273808,3.539714091,-1.417149176,1
81,-3.612958133,2.224628784,-0.797558889,3.813091913,-3.250470351,0.768445478,0
82,-1.458490265,-1.228517136,-1.459639386,-5.489972632,-2.912413088,0.663278259,0
83,0.695977604,0.694847671,-2.133436477,2.612659722,-2.574355825,0.558111039,0
84,1.629499749,-3.396858614,3.499808627,-6.124380629,0.196100047,0.45294382,1
85,2.563021894,-2.811550587,2.430915842,7.463076137,0.410164734,-1.463397597,0
86,0.98304367,3.329482264,5.146954667,-9.195598344,0.624229422,0.893093513,0
87,-0.596934554,2.347690698,3.092123947,-7.004389999,-5.478935825,0.322485296,0
88,3.490532706,-4.758018777,-1.224334909,-4.180229404,0.951892561,-1.00830631,1
89,4.465584296,-3.300200355,10.57548148,-1.84176562,-1.599010353,1.469125187,0
90,1.163264352,-1.842381934,4.487277475,1.866421364,1.448845904,-1.113980181,1
91,-2.139055592,1.886267017,0.94082391,-2.507092001,1.488134499,-0.798884003,0
92,2.206958657,2.885425143,-2.130387553,-13.93120843,4.049700143,1.423374675,1
93,-3.609418266,-0.100304346,5.560320311,0.012706107,-1.407226083,0.548216137,0
94,0.801244747,-3.042844449,-4.376828214,6.716174304,-5.187800225,-0.3269424,1
95,7.573786796,-2.198416672,3.865769678,-3.209126738,-1.359920443,-1.124253377,0
96,3.599206021,-0.503302399,5.01857421,-3.621385648,-1.369799329,-1.921564353,0
97,2.898005131,0.286860996,0.838342915,2.126552636,-0.938874366,-0.793211925,1
98,0.403027345,-2.328742823,0.964522426,-9.378442881,-1.897679356,-0.060169493,0
99,-2.091950441,2.287746388,-3.385962359,0.061770674,0.53221838,0.495851121,0
100,1.17502532,-0.1682566,6.463047383,5.47888087,-1.616366618,0.94152387,1
101,4.442001082,0.21518669,-5.250901531,5.240599503,0.839183214,0.520017659,1
102,7.708976843,-0.905016271,0.985877731,2.019670678,0.935041978,1.269349774,0
103,-1.803981793,5.584330328,3.846605715,-10.15948491,-1.150988571,0.319190161,0
104,3.619724128,-2.227819507,10.43603792,-0.835214819,1.416863356,-0.575715702,0
105,5.856394626,-1.065293823,-0.164020892,15.17845666,-1.987020144,-0.564336534,0
106,2.836110764,1.514911393,-4.110161486,1.949996743,-1.102989118,-0.309757823,0
107,-0.184173097,-0.451452923,-7.044856708,-2.609605815,1.260185115,-1.89599965,1
108,2.996943151,-2.417817239,-14.7909021,14.1203152,-4.867769061,-0.965029224,0
109,3.29502619,-0.268028277,-1.382159163,3.211351611,-1.721217119,-1.891973562,0
110,-0.89053633,0.01935249,7.843482371,-13.69240474,1.425334822,0.457186895,0
111,-0.79633491,-0.847779593,4.579991645,-8.371566127,4.428424474,1.1048332,1
112,1.094312809,-6.254103489,-2.906156971,3.925254216,-3.914288443,1.665989596,1
113,1.711353474,-4.4315922,-9.906983012,6.543143928,-2.15116753,-1.204133132,0
114,2.328394138,-0.384098248,2.213192487,9.161033639,1.248321785,-0.60467533,0
115,-0.824457488,-0.996268578,0.563730541,3.126222648,-0.926216743,-0.11179654,0
116,1.557629761,-1.608438908,9.42602588,0.081430594,-4.591977682,-0.441083915,0
117,4.739873213,-1.823015658,3.607954569,10.84184726,-3.067214008,0.392411387,1
118,-3.256323833,-1.96278024,-2.210116742,4.56984916,-2.921869037,1.225906688,1
119,1.273545516,1.228097301,0.459283448,5.836535565,-2.776524065,-1.030472126,0
120,3.867427471,1.16690742,-4.968971148,3.492134904,-0.355728417,0.712753067,0
121,3.632039692,1.105717539,-2.593433007,-2.036466235,-1.286207639,-0.785490484,0
122,3.396651913,-1.66691513,2.589625209,-5.551186584,-2.216686862,1.448303851,0
123,-0.370970847,-0.156289567,-7.695432935,3.303258479,-1.478538665,0.265156903,1
124,-3.019722559,0.476282822,-9.862722859,9.055336294,-0.740390468,-1.300415959,0
125,3.565920028,-0.115986589,-9.257596681,5.332172624,-1.429532262,0.470520343,0
126,-1.238433328,2.907803586,-5.33948428,-11.74519876,-3.654763621,-1.718556624,1
127,-1.864913425,-2.001813502,-5.957139754,10.49114527,-2.028053975,-0.589430614,0
128,1.478672495,2.083391973,9.012739458,-1.6625316,-1.951193517,-0.042940077,1
129,-3.071640394,3.593428747,5.407010683,-6.891584696,1.208047007,0.231820321,0
130,2.198118241,4.760239814,1.854791957,-7.947839522,-3.892794959,0.335741991,0
131,2.360269994,1.189027637,-4.257840318,1.92179846,-1.758958359,0.537960503,0
132,2.522421747,1.41313729,12.60810694,-2.356587306,1.794546485,1.606942662,0
133,-5.225513229,3.333522366,11.76923401,-12.4549761,0.893027063,2.675924822,0
134,1.579734211,5.253907441,4.621360418,-8.003538295,1.846951795,-0.340367574,0
135,5.409271528,0.678480732,9.574766304,8.455181316,-1.626265625,-1.100473585,0
136,4.769827309,-3.896945976,-0.414360906,2.685985975,0.545068879,-1.253576022,0
137,7.828451724,-4.083949067,1.099076567,6.721519053,-2.795645895,-0.459388651,0
138,0.644101103,-1.619892773,-10.91180099,9.97647216,-1.378838469,0.33479872,0
139,-0.020583106,0.653518714,3.775633301,3.911053823,0.300244284,0.502612861,0
140,-2.002715184,-0.427160994,-2.989964357,-2.154364514,-1.287332345,1.22060595,0
141,1.434830067,-1.348801392,-0.13747834,2.81170666,-3.31484768,2.303019859,0
142,1.711453433,3.318869681,-2.479529148,4.522841946,-3.214471563,-1.065013385,0
143,0.60770402,0.178720641,2.911868341,-12.15246131,0.834112085,-0.396490161,1
144,3.243947951,-1.660183794,7.467550328,-2.590245792,-2.775078595,-0.477466926,0
145,-5.750337946,1.069799751,-0.443933801,-7.483712097,1.589415996,-0.658890883,0
146,-4.953836025,2.287422065,-5.218034796,-7.461905943,1.27173258,1.199242183,1
147,-4.157334104,-1.571903769,7.1340914,-2.658273575,0.954049165,-0.078123579,0
148,-3.360832183,1.626908461,0.144924714,-2.292328595,-1.841938338,0.58767917,0
149,6.636315055,-1.824749839,2.892591123,-5.088077905,2.964562328,1.232822701,1
150,0.359281133,-3.856613054,-7.46127546,-9.758223608,-1.149370045,0.058919624,1
151,-2.681373119,-1.177094491,1.914293538,-2.864594817,-2.436419635,0.389194043,0
152,-3.645394736,-0.593947784,5.05706647,-5.130105967,-0.318456611,-0.027805755,0
153,0.405854984,-0.010801077,1.983301886,-5.269284637,1.880592338,0.155727857,0
154,2.171815447,-0.764359596,3.040734149,-5.830483274,3.001734859,-0.902994109,1
155,0.760989481,-3.69314739,4.098166412,-11.17146795,1.877804476,-0.835669963,0
156,5.580772226,1.781830185,6.719522592,8.424530408,1.486705207,-0.089644438,0
157,0.360903372,-1.470528851,9.340878772,3.509909376,1.095605937,1.377415116,0
158,-2.578196318,-0.1400895,7.564691889,-2.878633938,1.348392593,-0.782061012,0
159,0.286362426,-2.677860772,4.805988486,-6.747071381,4.005206398,0.890719659,1
160,-0.013650563,-6.566842446,-5.945808689,2.531059956,0.595917447,2.563500331,0
161,-1.346653595,-0.858624625,-6.01249952,3.64472349,-2.813371504,-0.681263314,0
162,-5.95896361,4.391527417,-3.031416983,-13.11067778,0.262775892,-0.464095651,0
163,3.639175476,-0.603832308,0.093085021,-1.011449587,-1.006477073,-0.246927989,0
164,1.222885918,2.170230332,-0.391544175,2.216128245,0.593680967,-0.434004492,0
165,-3.777549488,-0.48204615,-0.876173371,-3.656612725,-1.627026681,0.235080227,0
166,6.782082173,-7.264908788,-7.411667519,2.430041201,4.91556786,0.54063008,1
167,-2.808435701,3.445561403,-5.929206583,-0.076181826,-2.659279261,-0.168005142,0
168,-1.817915115,-2.02849381,-4.385709297,-7.536852363,-1.212097456,0.337247158,0
169,-0.827394529,-0.182246314,-9.001308572,4.833244727,-4.340390559,-0.103862844,0
170,0.163126057,4.124517697,-6.206612688,4.745952214,-3.565830104,-0.544972846,0
171,2.893061183,-2.342231966,4.735969601,4.658659701,0.310101329,-1.296755937,0
172,1.33970017,-1.74216951,3.4301387,4.57380574,0.837765964,-1.021981748,0
173,-0.213660843,1.895247011,-4.907209876,-2.018164663,-0.363977936,0.510316252,1
174,2.819983302,4.03598665,-0.841569178,2.096276099,-3.634839609,0.716566005,0
175,4.610777875,-1.474059689,-1.931079289,11.40740258,-2.440945914,0.882354881,0
176,0.705994682,-3.635445297,-7.381533864,-0.276124409,0.466815971,1.048143757,1
177,7.020059486,-3.137196292,18.45163918,-12.0130082,-0.044428041,0.794942867,0
178,5.250223856,-2.638947288,0.729595212,6.164592265,-0.688528228,-0.557513557,0
179,4.064671451,0.300777579,-9.245231393,2.321981075,-2.328018078,-0.876478047,0
180,2.879119047,0.212928561,3.702357319,1.328023723,0.287279413,1.101810998,0
