ID,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,target
0,0.408277671,-1.883769614,0.663372024,-0.237335345,1.741880767,-1.393772065,1
1,-4.5173415,-0.180905993,0.160496236,-1.04056938,3.974075011,-1.393772065,1
2,-9.442960672,-2.436031102,1.306348749,-5.404541911,3.761468967,-1.393772065,0
3,-11.20889147,-0.188820258,2.650915317,3.410936737,3.548862922,-3.107679701,0
4,-12.97482227,-8.202278514,1.62956554,-1.191974849,0.359696992,-1.917525054,0
5,-7.474887693,-0.464619325,0.608215763,0.94376408,-2.979433831,-0.727370407,1
6,-1.974953113,0.367577057,0.242469479,-1.128737205,4.255090295,0.462784239,0
7,7.167397671,1.199773439,-0.123276806,1.608545141,4.418091887,4.870934689,0
8,11.98736115,3.606010235,0.60052021,2.368105288,2.168967336,-1.844241407,0
9,2.400352597,-6.891956216,3.668915643,6.388500914,1.481852576,3.96992192,1
10,-7.186655953,-4.573895631,3.988319216,1.381380979,1.491318521,-0.427727778,0
11,1.182360515,2.967487241,0.474398086,-0.897176069,0.882918616,-4.825377476,0
12,9.551376983,6.895642752,-1.709593149,-3.175733118,0.274518711,-1.15250017,0
13,3.535723788,0.041352556,-0.61038039,-3.652716637,-2.910766634,-0.19454029,0
14,-3.321069438,-0.63079372,0.488832369,-4.129700156,-2.119551446,-0.877211946,0
15,4.78337604,0.707773506,-0.63765956,2.120535224,-2.376123453,-4.760073717,1
16,5.495116547,0.566349164,0.892732849,2.96523082,1.929030409,-0.79327077,0
17,0.948801769,-0.4391086,2.177196427,-0.104704381,-2.916977012,-0.64317074,0
18,-0.358358305,-0.485770388,3.461660004,-0.658347339,-0.781153017,-0.075894647,0
19,-1.665518379,-0.532432176,-1.946295017,-0.077129053,-3.077419327,2.196043068,0
20,4.367635394,5.330637031,3.929441911,1.48228198,-3.400310724,-5.791688688,0
21,2.872447586,2.867124056,-5.425673004,-3.436025082,-2.911548618,0.47287591,0
22,1.377259778,-1.102339647,-5.52600912,1.587968476,1.613642608,1.628327573,1
23,4.678896596,-0.070247733,-5.626345236,0.06538382,0.470978052,-1.693208205,0
24,5.662881904,0.96184418,-3.38869582,-1.457200836,-2.708901168,-0.897638848,0
25,9.722936114,5.026820161,-1.151046403,2.222370776,-2.773000133,-1.869112125,0
26,14.20168607,4.42978777,1.086603014,4.395679033,-1.961739694,-1.19166594,0
27,5.573815437,0.240967967,-4.749457384,4.768531053,1.525124054,-1.111601941,0
28,-3.054055197,-2.378655028,-0.642729924,-0.864549197,-2.967559313,0.136856422,1
29,-7.040170246,0.697547286,3.178984153,-7.847223194,0.794762411,-4.811197045,0
30,-8.426929522,-2.140775891,1.564101698,4.736884662,0.231982452,-4.262015655,0
31,-5.644550908,-1.179717085,0.042267453,0.356315054,-1.017035467,0.943788681,1
32,-1.529898673,-1.979433344,-1.479566792,4.36046974,0.495234669,-1.322171602,0
33,2.584753563,3.767102228,0.167748814,2.033691035,-0.869866374,-0.907188004,1
34,11.65300872,2.032496024,2.132895701,3.314932098,4.645768567,-0.612278643,0
35,8.78371466,3.193730617,4.098042589,4.596173162,-0.818310749,-4.278462454,0
36,12.42178995,4.602250749,1.106410114,-0.309810101,0.93350692,-0.762717726,0
37,-11.03976137,-0.466243614,-0.306746856,-4.433215737,-2.672209544,0.968843039,0
38,7.728841604,-0.580428265,-1.719903826,0.194495085,0.497511383,-3.207420711,0
39,6.972685038,5.236012476,-1.612715787,0.627319111,-3.142833495,-1.909569708,0
40,7.088346501,2.751975863,-1.505527748,-1.041898393,-1.628608305,-0.362505867,0
41,-5.000095226,2.464633085,-0.525420997,-1.541383854,-6.403327876,-0.598891346,1
42,-2.264965866,-0.879741821,0.423493871,-3.445857125,0.204086528,0.091406658,0
43,-4.222456244,-2.836683398,-1.455435629,2.160271381,1.225594169,3.067651242,1
44,-0.368794252,-3.446438433,4.866148692,1.538700706,4.892046093,1.125297554,0
45,-3.396713863,-2.36051865,1.803758395,-2.964711398,-1.484001875,-0.817056135,0
46,-2.522497487,-1.274598867,-2.032362358,-4.085752973,5.40526984,5.150491741,0
47,-1.648281111,-1.626677364,-0.336316331,4.832836053,-0.600188474,3.164464791,0
48,-0.774064735,0.466064915,-0.443971704,0.885019796,-1.663908887,1.718282756,0
49,5.690220679,2.558807193,-0.551627076,1.316600782,0.128332962,0.272100721,0
50,6.055903071,2.300092753,3.215318283,2.56263906,1.678440581,0.476625416,0
51,1.440830586,-0.144584023,-3.369166747,1.758953035,0.259359801,-6.77663303,1
52,12.2139367,-1.136403821,4.204660616,-2.192301441,-0.205814181,-1.535689764,1
53,12.20319559,2.209024145,-7.818828401,3.602195015,2.92751758,-3.590611185,0
54,-1.538628481,1.281416301,-2.259066439,-2.615021902,1.472386603,0.040762704,0
55,3.621537624,-2.485043923,-6.525128781,-1.690664959,4.678450052,-1.402129023,0
56,4.097088308,-3.07878918,-3.645860775,-0.766308017,2.275801509,-0.992721395,1
57,4.572638993,-2.076502365,-0.766592769,3.581908102,2.204956669,1.330962564,0
58,3.198574858,1.176519835,-0.82612784,2.742777006,-2.063539288,-5.164888507,0
59,-1.610999666,-2.402405279,1.168788393,0.358353085,-1.24621974,-3.405263094,0
60,-4.378684727,-2.877870548,-0.254557996,-2.026070836,-0.428900193,-3.258843288,0
61,-5.47119693,0.526695621,-1.677904386,-2.641854681,1.209151102,-1.566840236,0
62,7.618440213,2.950080189,-1.158619184,-0.653037059,2.847202396,0.542979145,0
63,-1.532589116,0.836774215,-0.639333982,2.268070764,-4.436545957,2.652798525,0
64,9.723794216,5.468227781,-0.12004878,5.305604945,-2.575961498,-2.481122776,0
65,10.481767,-0.932122301,1.804965511,4.371898187,-0.715377039,-2.38409664,0
66,6.343913718,4.26840245,0.754038867,1.807061751,-1.327859727,-1.644301122,0
67,-14.10327779,0.753081694,-0.84603444,-5.152070364,-0.031746782,-0.899261865,0
68,2.716990623,1.744881537,-2.446107747,-2.902761288,2.72416654,-2.115968783,0
69,4.085212106,-1.147322864,3.613972905,-0.653452213,-3.77190729,-2.668191644,1
70,6.232426936,-0.265946089,3.544847299,3.35655371,0.625626893,-0.92905036,1
71,8.379641767,-3.657227214,1.555424025,3.862377227,2.742115238,1.64472964,1
72,10.5268566,4.027523839,0.309121765,4.368200745,-1.530266041,-0.853910065,0
73,4.984561998,-0.268320628,-0.937180495,1.258686691,-2.026869519,-4.32311232,0
